primary_genre,n,mean,median,sd
Action,11190,0.776955278108092,0.809932034701937,0.156073269638767
Adventure,6413,0.813426226909658,0.849872773536896,0.143599387356878
Casual,3643,0.802359998887574,0.84251968503937,0.157298996856082
Simulation,1680,0.749721099276953,0.784523261169968,0.165692976028172
RPG,1382,0.795302898321597,0.818032085561498,0.137944792279597
Strategy,930,0.780161302638823,0.818511198945982,0.152330878678793
Racing,302,0.762078360563494,0.805798741438544,0.166896506235066
Sports,79,0.720580890724586,0.754385964912281,0.17459329355476
Massively Multiplayer,43,0.715053777530672,0.72554347826087,0.170181838136641
