genre,shapiro_p
Action,4.08456253177966e-45
Adventure,5.19527808993819e-50
Casual,4.57127574689759e-44
Massively Multiplayer,0.00335130004065658
Racing,5.30816001530902e-13
RPG,8.19118353729261e-26
Simulation,7.14135690446924e-28
Sports,0.00415892915661346
Strategy,1.76583303038989e-23
